# Goxel 0.12.0
# One line per voxel
# X Y Z RRGGBB
-7 -6 0 ffffff
-6 -6 0 ffffff
-3 -6 0 ffffff
-2 -6 0 ffffff
-7 -5 0 ffffff
-6 -5 0 ffffff
-3 -5 0 ffffff
-2 -5 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-3 -4 0 ffffff
-2 -4 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-7 -5 1 ffffff
-6 -5 1 ffffff
-3 -5 1 ffffff
-2 -5 1 ffffff
-7 -4 1 ffffff
-6 -4 1 ffffff
-3 -4 1 ffffff
-2 -4 1 ffffff
-7 -3 1 ffffff
-6 -3 1 ffffff
-3 -3 1 ffffff
-2 -3 1 ffffff
-7 -2 1 ffffff
-6 -2 1 ffffff
-3 -2 1 ffffff
-2 -2 1 ffffff
-7 -1 1 ffffff
-6 -1 1 ffffff
-3 -1 1 ffffff
-2 -1 1 ffffff
-7 0 0 ffffff
-6 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-7 1 0 ffffff
-6 1 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-2 1 0 ffffff
-7 2 0 ffffff
-6 2 0 ffffff
-5 2 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-5 3 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-7 4 0 ffffff
-6 4 0 ffffff
-5 4 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-6 5 0 ffffff
-5 5 0 ffffff
-4 5 0 ffffff
-3 5 0 ffffff
-6 6 0 ffffff
-5 6 0 ffffff
-4 6 0 ffffff
-3 6 0 ffffff
-6 7 0 ffffff
-5 7 0 ffffff
-4 7 0 ffffff
-3 7 0 ffffff
-6 8 0 ffffff
-5 8 0 ffffff
-4 8 0 ffffff
-3 8 0 ffffff
-6 9 0 ffffff
-5 9 0 ffffff
-4 9 0 ffffff
-3 9 0 ffffff
-6 10 0 ffffff
-5 10 0 ffffff
-4 10 0 ffffff
-3 10 0 ffffff
-5 11 0 ffffff
-4 11 0 ffffff
-7 0 1 ffffff
-6 0 1 ffffff
-3 0 1 ffffff
-2 0 1 ffffff
-7 1 1 ffffff
-6 1 1 ffffff
-5 1 1 ffffff
-4 1 1 ffffff
-3 1 1 ffffff
-2 1 1 ffffff
-7 2 1 ffffff
-6 2 1 ffffff
-5 2 1 ffffff
-4 2 1 ffffff
-3 2 1 ffffff
-2 2 1 ffffff
-7 3 1 ffffff
-6 3 1 ffffff
-5 3 1 ffffff
-4 3 1 ffffff
-3 3 1 ffffff
-2 3 1 ffffff
-7 4 1 ffffff
-6 4 1 ffffff
-5 4 1 ffffff
-4 4 1 ffffff
-3 4 1 ffffff
-2 4 1 ffffff
-6 5 1 ffffff
-5 5 1 ffffff
-4 5 1 ffffff
-3 5 1 ffffff
-6 6 1 ffffff
-5 6 1 ffffff
-4 6 1 ffffff
-3 6 1 ffffff
-6 7 1 ffffff
-5 7 1 ffffff
-4 7 1 ffffff
-3 7 1 ffffff
-6 8 1 ffffff
-5 8 1 ffffff
-4 8 1 ffffff
-3 8 1 ffffff
-6 9 1 ffffff
-5 9 1 ffffff
-4 9 1 ffffff
-3 9 1 ffffff
-5 10 1 ffffff
-4 10 1 ffffff
-7 2 2 ffffff
-6 2 2 ffffff
-5 2 2 ffffff
-4 2 2 ffffff
-3 2 2 ffffff
-2 2 2 ffffff
-7 3 2 ffffff
-6 3 2 ffffff
-5 3 2 ffffff
-4 3 2 ffffff
-3 3 2 ffffff
-2 3 2 ffffff
-7 4 2 ffffff
-6 4 2 ffffff
-5 4 2 ffffff
-4 4 2 ffffff
-3 4 2 ffffff
-2 4 2 ffffff
-5 5 2 ffffff
-4 5 2 ffffff
-5 6 2 ffffff
-4 6 2 ffffff
-5 7 2 ffffff
-4 7 2 ffffff
-5 8 2 ffffff
-4 8 2 ffffff
-6 2 3 ffffff
-5 2 3 ffffff
-4 2 3 ffffff
-3 2 3 ffffff
-6 3 3 ffffff
-5 3 3 ffffff
-4 3 3 ffffff
-3 3 3 ffffff
-6 2 4 ffffff
-5 2 4 ffffff
-4 2 4 ffffff
-3 2 4 ffffff
-6 3 4 ffffff
-5 3 4 ffffff
-4 3 4 ffffff
-3 3 4 ffffff
-5 2 5 ffffff
-4 2 5 ffffff
-5 3 5 ffffff
-4 3 5 ffffff
-5 2 6 ffffff
-4 2 6 ffffff
-5 3 6 ffffff
-4 3 6 ffffff
